wind_speed,dena_mean,dena_extreme1,dena_extreme2
0,1,1,1
0.9238,0.99496,0.990716,0.987041
0.9661,0.994957,0.990705,0.987035
0.9819,0.994955,0.990701,0.987033
1.4526,0.994914,0.990712,0.98709
1.4843,0.994911,0.990729,0.987111
1.9602,0.99487,0.990707,0.987156
1.9814,0.994868,0.990666,0.987107
2.4679,0.994826,0.990571,0.987104
2.4891,0.994824,0.990703,0.987305
2.9544,0.994783,0.991409,0.9871
2.9756,0.994781,0.990859,0.986268
3.002,0.994779,0.990024,0.985044
3.0601,0.992179,0.987622,0.981665
3.0972,0.990059,0.985718,0.979058
3.1606,0.987498,0.981896,0.973908
3.24,0.984817,0.976401,0.966572
3.351,0.981497,0.968113,0.955514
3.3933,0.978096,0.964935,0.951255
3.4198,0.977073,0.962972,0.948617
3.4409,0.976254,0.961416,0.946522
3.4832,0.974616,0.958358,0.942385
3.5626,0.971735,0.952794,0.934812
3.6366,0.968855,0.947806,0.927998
3.6947,0.965694,0.944029,0.922836
3.7423,0.963094,0.941034,0.918753
3.7952,0.960974,0.937818,0.914384
3.8798,0.958573,0.932945,0.907829
3.9062,0.956213,0.931499,0.905908
3.9486,0.953053,0.929273,0.902984
4.012,0.951642,0.926171,0.899013
4.0331,0.951172,0.925211,0.897822
4.0543,0.950906,0.924292,0.8967
4.2024,0.94905,0.919214,0.890883
4.4192,0.947209,0.915603,0.887247
4.4774,0.946721,0.914954,0.886529
4.4985,0.946543,0.914689,0.886233
4.6625,0.945167,0.911934,0.883393
4.8211,0.943806,0.909145,0.880311
4.9216,0.943346,0.907805,0.878463
4.985,0.943055,0.907192,0.877406
5.0749,0.942643,0.906548,0.876094
5.2917,0.941482,0.905503,0.873595
5.4715,0.940741,0.904601,0.871882
5.5138,0.940567,0.904327,0.871481
5.535,0.94048,0.904179,0.871277
5.7412,0.940478,0.902561,0.869337
5.921,0.940397,0.901344,0.868349
5.958,0.940407,0.901188,0.868278
6.0003,0.940418,0.901077,0.868253
6.0691,0.940436,0.901083,0.868319
6.2436,0.940874,0.901978,0.868907
6.4445,0.941555,0.903474,0.870066
6.4868,0.941699,0.903722,0.870354
6.5027,0.941752,0.903809,0.870465
6.6772,0.942271,0.904611,0.871782
6.9046,0.943389,0.905646,0.873729
6.9733,0.943729,0.906049,0.87435
6.9945,0.943833,0.906189,0.874543
7.1796,0.944747,0.907804,0.876266
7.3964,0.946265,0.910267,0.878414
7.4599,0.946614,0.910985,0.879079
7.481,0.94673,0.911217,0.879306
7.5709,0.947224,0.912155,0.880293
7.8617,0.948381,0.914866,0.88369
7.9675,0.948895,0.915781,0.884966
7.9887,0.948998,0.915962,0.885222
8.0838,0.94946,0.91677,0.886372
8.3059,0.950858,0.918643,0.889063
8.454,0.952057,0.919913,0.890876
8.4752,0.952169,0.920097,0.891138
8.6497,0.953095,0.921644,0.893294
8.9299,0.954613,0.924205,0.896553
8.9617,0.954787,0.924499,0.896894
9.004,0.95502,0.924893,0.897339
9.2789,0.95653,0.927504,0.900116
9.4482,0.957382,0.929209,0.901871
9.5328,0.957808,0.930102,0.902809
9.5328,0.957808,0.930102,0.902809
9.8236,0.959726,0.933063,0.90652
9.8924,0.960072,0.933686,0.907496
9.9981,0.960604,0.934576,0.909045
10.1568,0.961403,0.935808,0.911358
10.4,0.962693,0.937559,0.914322
10.4053,0.962721,0.937596,0.914378
10.4635,0.962969,0.938001,0.914971
10.8072,0.964438,0.940416,0.918234
10.9923,0.965399,0.941837,0.920077
11.1456,0.966195,0.943156,0.921809
11.4259,0.967593,0.945712,0.925336
11.4576,0.967724,0.945993,0.925732
11.4788,0.967812,0.946179,0.925993
11.7538,0.96895,0.94848,0.92912
11.9865,0.970044,0.950309,0.931429
12.034,0.970268,0.950672,0.931868
12.3355,0.971786,0.952937,0.934541
12.4518,0.972375,0.953825,0.935609
12.5153,0.972696,0.95432,0.936225
12.8325,0.974302,0.956836,0.939705
12.9383,0.974695,0.957661,0.940885
12.9806,0.974852,0.957986,0.941341
13.1763,0.975579,0.959454,0.943345
13.4883,0.976985,0.961657,0.946544
13.5041,0.977056,0.961763,0.946718
13.5094,0.977078,0.961798,0.946777
13.906,0.978693,0.96438,0.951255
13.9748,0.9791,0.964853,0.951893
14.1017,0.979852,0.965765,0.95291
14.4454,0.981049,0.968285,0.955299
14.5036,0.981225,0.968689,0.955726
14.5247,0.981289,0.968831,0.955889
14.9319,0.982525,0.971309,0.959689
14.9478,0.982597,0.971405,0.959842
14.9689,0.982693,0.971535,0.960045
15.3285,0.984322,0.973748,0.963098
15.4554,0.984555,0.974441,0.964041
15.7622,0.985118,0.975828,0.966114
16.0054,0.985847,0.976759,0.967557
16.0266,0.98591,0.976836,0.967673
16.0953,0.986116,0.977087,0.96804
16.3967,0.986873,0.978172,0.969537
16.5131,0.987108,0.978592,0.970113
16.8304,0.98775,0.979783,0.971774
16.9361,0.987855,0.980189,0.972306
16.9784,0.987897,0.980352,0.972509
17.3486,0.988266,0.981758,0.974256
17.4861,0.988623,0.982265,0.975065
17.8245,0.989502,0.983449,0.977558
17.9726,0.989814,0.983949,0.978421
17.9937,0.989858,0.984021,0.978519
18.3163,0.990538,0.98508,0.97955
18.5014,0.991218,0.985617,0.980043
18.5437,0.991373,0.985727,0.980176
18.7182,0.992015,0.986141,0.980898
18.9667,0.992231,0.986685,0.982093
18.9879,0.99225,0.986733,0.982175
19.173,0.992411,0.987179,0.98271
19.4321,0.992677,0.987802,0.983209
19.4532,0.992699,0.987849,0.983247
19.6753,0.992927,0.988303,0.983643
20.0032,0.993258,0.988785,0.984165
20.0244,0.993279,0.988804,0.984193
20.0296,0.993284,0.988809,0.984199
20.4685,0.993281,0.988801,0.984481
20.9127,0.993277,0.988797,0.984463
20.9551,0.993277,0.988803,0.984477
21.1613,0.993275,0.988838,0.984615
21.4839,0.993316,0.988953,0.984953
21.9492,0.993374,0.989269,0.985429
22.4146,0.993433,0.989266,0.985728
22.4569,0.993438,0.989279,0.985745
22.9592,0.993501,0.989568,0.985887
22.9857,0.993506,0.989581,0.985895
23.0068,0.99351,0.989591,0.985901
23.3876,0.993578,0.989698,0.986144
23.451,0.993649,0.989726,0.986217
23.4722,0.993673,0.989737,0.986244
23.5991,0.993816,0.989821,0.986412
23.9957,0.994133,0.990186,0.98685
24.001,0.994155,0.990191,0.986853
24.0221,0.994244,0.990213,0.986864
24.3183,0.99549,0.990479,0.986873
24.4663,0.996441,0.990529,0.986848
24.5086,0.996713,0.990532,0.986849
24.5298,0.996849,0.990531,0.986852
24.7889,0.997687,0.990473,0.986976
25,0.998325,0.990383,0.987165
